CBO实时票房榜
&nbsp;&nbsp;今日大盘 ： 1801.9万
影片排名,影片名称,实时票房（万）,票房占比,累计票房（万）,排片占比,上映天数
1,复仇者联盟4：...,1289.6,71.57%,388113.2,53.39%,13
2,何以为家,301.0,16.71%,17280.2,22.33%,8
3,下一任：前任,82.2,4.56%,10332.5,10.98%,6
4,雪暴,38.1,2.11%,2116.0,4.89%,7
5,调音师,16.8,0.93%,32125.4,1.53%,34
6,反贪风暴4,16.2,0.90%,78610.5,1.58%,33
7,港珠澳大桥,11.9,0.66%,131.8,0.71%,6
8,撞死了一只羊,7.8,0.43%,1005.1,0.52%,11
9,悟空奇遇记,7.0,0.39%,1870.8,1.29%,6
10,神奇乐园历险记,6.9,0.38%,4531.7,0.86%,18
18
